scheme_code,scheme_name,scheme_nav_name,fund_house,asset_class,category,amfi_category,launch_date,isin_growth,in_reference_study
118387,Bandhan 10 year Constant Maturity Gilt Fund,Bandhan 10 year Constant Maturity Gilt Fund - Direct Plan - Growth,Bandhan Mutual Fund,Debt,10-year Constant Maturity Gilt,Income/Debt Oriented Schemes - 10-year Constant Maturity Gilt Fund,21-Feb-2002,INF194K01P38,No
131301,DSP 10 year Constant Maturity Gilt Fund,DSP 10 year Constant Maturity Gilt Fund - Direct Plan - Growth,DSP Mutual Fund,Debt,10-year Constant Maturity Gilt,Income/Debt Oriented Schemes - 10-year Constant Maturity Gilt Fund,16-Sep-2014,INF740K019I5,No
131061,ICICI Prudential 10 year Constant Maturity Gilt Fund,ICICI Prudential 10 year Constant Maturity Gilt Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Debt,10-year Constant Maturity Gilt,Income/Debt Oriented Schemes - 10-year Constant Maturity Gilt Fund,25-Aug-2014,INF109KA1O37,No
120137,SBI 10 YEAR CONSTANT MATURITY GILT FUND,SBI 10 YEAR CONSTANT MATURITY GILT FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Debt,10-year Constant Maturity Gilt,Income/Debt Oriented Schemes - 10-year Constant Maturity Gilt Fund,11-Dec-2000,INF200K01SK7,No
150410,UTI 10 year Constant Maturity Gilt Fund,UTI 10 year Constant Maturity Gilt Fund - Direct Plan - Growth Option,UTI Mutual Fund,Debt,10-year Constant Maturity Gilt,Income/Debt Oriented Schemes - 10-year Constant Maturity Gilt Fund,18-Jul-2022,INF789F1AVR7,No
120438,Axis Banking and PSU Debt Fund,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,Axis Mutual Fund,Debt,Banking and PSU Debt,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,30-May-2012,INF846K01CR6,No
152162,Bajaj Finserv Banking and PSU Debt Fund,Bajaj Finserv Banking and PSU Debt Fund-Direct Plan- Growth,Bajaj Finserv Mutual Fund,Debt,Banking and PSU Debt,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,25-Oct-2023,INF0QA701607,No
121279,Bandhan Banking and PSU Debt Fund,Bandhan Banking and PSU Debt Fund - Direct Growth,Bandhan Mutual Fund,Debt,Banking and PSU Debt,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,26-Feb-2013,INF194K015G8,No
150505,Canara Robeco Banking and PSU Debt Fund,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,Canara Robeco Mutual Fund,Debt,Banking and PSU Debt,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,29-Jul-2022,INF760K01KC4,No
124175,DSP Banking and PSU Debt Fund,DSP Banking and PSU Debt Fund - Direct Plan - Growth,DSP Mutual Fund,Debt,Banking and PSU Debt,Income/Debt Oriented Schemes - Banking and PSU Debt Fund,10-Sep-2013,INF740K01ZW2,No
