scheme_code,scheme_name,category
119835,SBI Contra Fund - Direct Plan - Growth,Contra
120348,Invesco India Contra Fund - Direct Plan - Growth,Contra
133386,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
120494,JM ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
120847,Quant ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
119060,HDFC ELSS Tax saver - Direct Plan - Growth,ELSS
147541,ITI ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
119723,SBI Long Term Equity Fund - Direct Plan - Growth,ELSS
118473,Bandhan ELSS Tax saver Fund - Direct Plan - Growth,ELSS
120416,Invesco India ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
119351,Bank of India ELSS Tax Saver - Direct Plan - Growth,ELSS
118285,Canara Robeco ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
118540,Franklin India ELSS Tax Saver Fund - Direct Plan - Growth,ELSS
120492,JM Flexi Cap Fund - Direct - Growth,Flexi Cap
118955,HDFC Flexi Cap Fund - Direct Plan - Growth,Flexi Cap
148404,Bank of India Flexi Cap Fund - Direct Plan - Growth,Flexi Cap
149763,Invesco India Flexi Cap Fund - Direct Plan - Growth,Flexi Cap
118535,Franklin India Flexi Cap Fund - Direct - Growth,Flexi Cap
140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth,Flexi Cap
148567,Mahindra Manulife Focused Fund - Direct Plan - Growth,Focused
118950,HDFC Focused 30 Fund - Direct Plan - Growth,Focused
148481,Invesco India Focused Fund - Direct Plan - Growth,Focused
120834,Quant Focused Fund - Direct Plan - Growth,Focused
149533,Sundaram Focused Fund - Direct Plan - Growth,Focused
120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,Focused
147757,Tata Focused Equity Fund - Direct Plan - Growth,Focused
147704,Motilal Oswal Large and Midcap Fund - Direct Plan - Growth,Large & Mid Cap
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth,Large & Mid Cap
118419,Bandhan Core Equity Fund - Direct Plan - Growth,Large & Mid Cap
120826,Quant Large and Mid Cap Fund - Direct Plan - Growth,Large & Mid Cap
119721,SBI Large & Midcap Fund - Direct Plan - Growth,Large & Mid Cap
120596,ICICI Prudential Large & Mid Cap Fund- Direct Plan - Growth,Large & Mid Cap
130498,HDFC Large and Mid Cap Fund - Direct Plan - Growth,Large & Mid Cap
145110,Axis Growth Opportunities Fund - Direct Plan - Growth,Large & Mid Cap
120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,Large & Mid Cap
119566,Sundaram Large and Mid Cap Fund - Direct Plan - Growth,Large & Mid Cap
147840,Mahindra Manulife Large & Mid Cap Fund - Direct Plan - Growth,Large & Mid Cap
