scheme_code,date,nav
119835,2013-01-02,59.55
119835,2013-01-03,59.98
119835,2013-01-04,60.01
119835,2013-01-07,60.0
119835,2013-01-08,60.06
119835,2013-01-09,60.0
119835,2013-01-10,59.8
119835,2013-01-11,59.99
119835,2013-01-14,60.69
119835,2013-01-15,60.82
119835,2013-01-16,60.35
119835,2013-01-17,60.65
119835,2013-01-18,60.74
119835,2013-01-21,60.85
119835,2013-01-22,60.54
119835,2013-01-23,60.67
119835,2013-01-24,60.24
119835,2013-01-25,60.85
119835,2013-01-28,60.89
119835,2013-01-29,60.77
119835,2013-01-30,60.8
119835,2013-01-31,60.64
119835,2013-02-01,60.38
119835,2013-02-04,60.31
119835,2013-02-05,59.91
119835,2013-02-06,59.94
119835,2013-02-07,59.58
119835,2013-02-08,59.27
119835,2013-02-11,59.16
119835,2013-02-12,59.4313
119835,2013-02-13,59.6438
119835,2013-02-14,59.2182
119835,2013-02-15,59.2052
119835,2013-02-18,59.2865
119835,2013-02-19,59.6631
119835,2013-02-20,59.67
119835,2013-02-21,58.8591
119835,2013-02-22,58.9779
119835,2013-02-25,58.9233
119835,2013-02-26,58.3429
119835,2013-02-27,58.6792
119835,2013-02-28,57.8621
119835,2013-03-01,58.0296
119835,2013-03-04,57.6408
119835,2013-03-05,58.1686
119835,2013-03-06,58.3746
119835,2013-03-07,58.8126
119835,2013-03-08,59.4578
119835,2013-03-11,59.3747
119835,2013-03-12,59.0696
119835,2013-03-13,58.6148
119835,2013-03-14,59.0671
119835,2013-03-15,58.7623
119835,2013-03-18,58.4489
119835,2013-03-19,57.5602
119835,2013-03-20,56.9319
119835,2013-03-21,56.7873
119835,2013-03-22,56.4014
119835,2013-03-25,56.2303
119835,2013-03-26,56.1927
119835,2013-03-28,56.7007
119835,2013-04-01,56.9527
119835,2013-04-02,57.3724
119835,2013-04-03,57.0916
119835,2013-04-04,55.9859
119835,2013-04-05,55.7818
119835,2013-04-08,55.6643
119835,2013-04-09,55.0613
119835,2013-04-10,55.5
119835,2013-04-11,55.8182
119835,2013-04-12,55.0264
119835,2013-04-15,55.2961
119835,2013-04-16,56.0277
119835,2013-04-17,56.1679
119835,2013-04-18,56.8554
119835,2013-04-22,57.4124
119835,2013-04-23,57.349
119835,2013-04-25,57.7401
119835,2013-04-26,57.5274
119835,2013-04-29,57.6073
119835,2013-04-30,57.8627
119835,2013-05-02,58.4038
